epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,678.414,0.60971,1.06024,1.01168,0.9989,0.99537,0.995,0.89364,0.44511,0.85661,0.88539,0.000661939,0.000661939,0.000661939
2,1352.6,0.62789,0.66103,0.99353,0.94655,0.9839,0.98677,0.84902,0.59769,0.71411,0.94861,0.0013023,0.0013023,0.0013023
3,2018.51,0.62771,0.53528,0.9981,1,0.99457,0.995,0.91137,0.44681,0.52908,0.88809,0.00191626,0.00191626,0.00191626
4,2990.3,0.59243,0.46157,0.97151,0.95895,0.97331,0.99029,0.84953,0.57634,0.48522,0.99316,0.0018812,0.0018812,0.0018812
5,3673.1,0.57864,0.43801,0.96571,0.98882,0.99537,0.99402,0.91588,0.41906,0.39865,0.87257,0.0018416,0.0018416,0.0018416
6,4360.58,0.53159,0.38949,0.94164,0.96784,0.9754,0.9913,0.88013,0.50761,0.42556,0.95505,0.001802,0.001802,0.001802
7,5181.39,0.52014,0.38636,0.94999,0.96794,1,0.98862,0.9474,0.31964,0.29019,0.82234,0.0017624,0.0017624,0.0017624
8,5884.78,0.49454,0.36097,0.93735,0.89076,0.99074,0.98657,0.95891,0.30942,0.42328,0.82695,0.0017228,0.0017228,0.0017228
9,6753.49,0.47749,0.35109,0.93332,0.99957,1,0.995,0.9714,0.29726,0.2432,0.80601,0.0016832,0.0016832,0.0016832
10,7430.52,0.4633,0.34299,0.92498,0.99971,1,0.995,0.95158,0.29455,0.26979,0.80351,0.0016436,0.0016436,0.0016436
11,8427.39,0.47777,0.34762,0.93819,0.99965,1,0.995,0.97359,0.29605,0.25172,0.80639,0.001604,0.001604,0.001604
12,9731.88,0.43703,0.31875,0.91689,0.98684,1,0.99421,0.95684,0.26394,0.24368,0.8009,0.0015644,0.0015644,0.0015644
13,10643.1,0.42008,0.3068,0.91108,0.99973,1,0.995,0.97935,0.24299,0.19398,0.79194,0.0015248,0.0015248,0.0015248
14,11648.8,0.41219,0.30012,0.91054,0.99972,1,0.995,0.97142,0.28962,0.2279,0.80853,0.0014852,0.0014852,0.0014852
15,12922,0.39746,0.28967,0.91125,0.99971,1,0.995,0.9815,0.23266,0.19097,0.78013,0.0014456,0.0014456,0.0014456
16,13580,0.38949,0.29653,0.90454,0.99973,1,0.995,0.9888,0.22332,0.18966,0.77918,0.001406,0.001406,0.001406
17,14249.7,0.38675,0.28102,0.90283,0.99971,1,0.995,0.98593,0.21751,0.19076,0.77785,0.0013664,0.0013664,0.0013664
18,14906.2,0.37307,0.2793,0.8976,0.99969,1,0.995,0.98485,0.21599,0.18297,0.77713,0.0013268,0.0013268,0.0013268
19,15562.8,0.38901,0.28226,0.90769,0.99972,1,0.995,0.99037,0.21304,0.18088,0.77992,0.0012872,0.0012872,0.0012872
20,16216.9,0.36641,0.26882,0.89937,0.99975,1,0.995,0.98854,0.21162,0.17655,0.77477,0.0012476,0.0012476,0.0012476
21,16862.7,0.34927,0.26103,0.88799,0.99974,1,0.995,0.99489,0.18568,0.16319,0.77198,0.001208,0.001208,0.001208
22,17511.1,0.35868,0.26484,0.8937,0.99941,1,0.995,0.99212,0.18194,0.16313,0.77129,0.0011684,0.0011684,0.0011684
23,18161.9,0.35056,0.2575,0.8898,0.99956,1,0.995,0.99363,0.19472,0.17199,0.77643,0.0011288,0.0011288,0.0011288
24,18810.8,0.34126,0.24988,0.88997,0.99907,1,0.995,0.99275,0.17297,0.15804,0.77129,0.0010892,0.0010892,0.0010892
25,19465,0.33756,0.2504,0.88435,0.99941,1,0.995,0.99,0.20535,0.17164,0.7779,0.0010496,0.0010496,0.0010496
26,20110.6,0.32792,0.24729,0.88326,0.99961,1,0.995,0.99488,0.15752,0.1433,0.76461,0.00101,0.00101,0.00101
27,20768.9,0.32757,0.24024,0.88421,0.99962,1,0.995,0.99424,0.16504,0.15425,0.76624,0.0009704,0.0009704,0.0009704
28,21421.8,0.31502,0.23785,0.87969,0.99974,1,0.995,0.995,0.16116,0.14332,0.7649,0.0009308,0.0009308,0.0009308
29,22077.3,0.31476,0.23547,0.88144,0.99974,1,0.995,0.99491,0.17995,0.15334,0.76747,0.0008912,0.0008912,0.0008912
30,22725.9,0.30119,0.22271,0.87827,0.99973,1,0.995,0.99429,0.15131,0.14724,0.76114,0.0008516,0.0008516,0.0008516
31,23379.4,0.30437,0.22748,0.88003,0.99975,1,0.995,0.99493,0.14734,0.13417,0.76328,0.000812,0.000812,0.000812
32,24106.7,0.29847,0.21887,0.8746,0.99975,1,0.995,0.99499,0.15126,0.13313,0.76011,0.0007724,0.0007724,0.0007724
33,24759.3,0.29359,0.21834,0.87738,0.99974,1,0.995,0.995,0.16111,0.13826,0.7609,0.0007328,0.0007328,0.0007328
34,25411,0.29243,0.21651,0.87356,0.99974,1,0.995,0.99499,0.1482,0.13364,0.76095,0.0006932,0.0006932,0.0006932
35,26059.6,0.28629,0.21588,0.87701,0.99974,1,0.995,0.99498,0.13578,0.12934,0.7582,0.0006536,0.0006536,0.0006536
36,26704.7,0.26959,0.2083,0.86739,0.99975,1,0.995,0.99464,0.12844,0.11928,0.75922,0.000614,0.000614,0.000614
37,27351.9,0.2791,0.20792,0.87555,0.99974,1,0.995,0.99498,0.13044,0.11713,0.75739,0.0005744,0.0005744,0.0005744
38,28235.9,0.26788,0.20099,0.87019,0.99975,1,0.995,0.995,0.15387,0.1249,0.75966,0.0005348,0.0005348,0.0005348
39,29489.3,0.26336,0.19984,0.86723,0.99974,1,0.995,0.99497,0.12886,0.118,0.75955,0.0004952,0.0004952,0.0004952
